dataset,model,heuristic,metric,baseline_mean,baseline_std,curriculum_mean,curriculum_std,improvement_pct,t_stat,p_value,cohens_d,significant
cora,gat,aa,heart_hits@50,0.952371916508539,0.011863756381283171,0.9554079696394687,0.012565338239956978,0.31878860330742154,0.7316529130196288,0.48299524996003135,0.23570794400820716,False
cora,gat,cn,heart_mrr,0.5226424752737101,0.0334151602274123,0.3725462845521976,0.021268059760456866,-28.718712661634793,-10.048374571544466,3.4373055141164768e-06,-5.084026842975082,True
cora,gat,cn,heart_hits@10,0.7967741935483871,0.02532264996297113,0.6527514231499051,0.034281866537035945,-18.07573231721839,-8.994381057374214,8.581780903619175e-06,-4.5336892311186965,True
cora,gat,cn,heart_hits@50,0.952371916508539,0.011863756381283171,0.9360531309297914,0.013841591062494784,-1.7134887427774492,-3.087220082056279,0.012987635916627832,-1.2009746854185805,True
cora,gat,ra,heart_mrr,0.5226424752737101,0.0334151602274123,0.5140435145680137,0.038100902900501374,-1.64528546999421,-0.45722117206598095,0.6583483809893663,-0.2276477812509148,False
cora,gat,ra,heart_hits@10,0.7967741935483871,0.02532264996297113,0.8068311195445921,0.020167484258954732,1.2622052869730973,0.9608873405397713,0.36171157193416537,0.41680058547655774,False
cora,gat,ra,heart_hits@50,0.952371916508539,0.011863756381283171,0.9552182163187857,0.011485955180585636,0.2988643156007135,0.6660274408958552,0.5220968542453575,0.231256278889491,False
cora,gat,,heart_mrr,0.5226424752737101,0.0334151602274123,0.5226424752737101,0.0334151602274123,0.0,,,0.0,False
cora,gat,,heart_hits@10,0.7967741935483871,0.02532264996297113,0.7967741935483871,0.02532264996297113,0.0,,,0.0,False
cora,gat,,heart_hits@50,0.952371916508539,0.011863756381283171,0.952371916508539,0.011863756381283171,0.0,,,0.0,False
cora,gcn,aa,heart_mrr,0.5055205791987747,0.037125585741084606,0.41235514430879217,0.05280072977322765,-18.429602814121864,-4.567680653548468,0.0013513625286352582,-1.9365095640871886,True
cora,gcn,aa,heart_hits@10,0.789753320683112,0.019103928574805647,0.7683111954459203,0.02994797977143142,-2.7150408457472417,-1.9316004140957996,0.0854529363255968,-0.8098445500079815,False
cora,gcn,aa,heart_hits@50,0.9648956356736245,0.010941710241623158,0.9637571157495255,0.0079809263168171,-0.11799410029501599,-0.3656000086660804,0.7231087129784747,-0.11278673705956624,False
cora,gcn,ra,heart_mrr,0.5055205791987747,0.037125585741084606,0.41044864285493554,0.05200012421436054,-18.806739083604374,-4.612931781409662,0.001267009419286064,-1.9963420806900556,True
cora,gcn,ra,heart_hits@10,0.789753320683112,0.019103928574805647,0.7660341555977229,0.030075153080319307,-3.0033637674195193,-2.028212596379463,0.07314535429335113,-0.8931483242714096,False
cora,gcn,ra,heart_hits@50,0.9648956356736245,0.010941710241623158,0.9662239089184063,0.008562060093114597,0.13765978367748413,0.43036762851553656,0.6770502260614055,0.12826595202467866,False
cora,gcn,,heart_mrr,0.5055205791987748,0.037125585741084606,0.505325757620521,0.03693221763757376,-0.038538802626506816,-0.8628855256441101,0.39896168368636425,-0.00512810074753329,False
cora,gcn,,heart_hits@10,0.789753320683112,0.019103928574805647,0.7892789373814042,0.019027206134140304,-0.0600672753483918,-1.5607361839521403,0.13508811384056277,-0.024251610440179948,False
cora,gcn,,heart_hits@50,0.9648956356736242,0.010941710241623158,0.9649905123339659,0.010657905355660554,0.00983284169126284,0.2520816345981648,0.8036846782164032,0.008561851276008066,False
pubmed,gat,aa,heart_mrr,0.47518334872733947,0.0049164420208767596,0.4754260853573985,0.011860141119173107,0.051082730636318775,0.06806539095930438,0.9472217820869399,0.02536575021804123,False
pubmed,gat,aa,heart_hits@10,0.8734657039711191,0.003364562351328284,0.8664936823104694,0.004209166546115955,-0.7982021078735135,-6.752048869374796,8.345497490908218e-05,-1.7358667907090637,True
